pair_id,ground_truth,quantum,classical_cosine,classical_euclidean,classical_weighted
2915,0.5296105518349076,0.5296105518349076,0.7277434656765442,0.7869833596783826,0.7869833596783827
2916,0.4231967553288822,0.4231967553288822,0.6505357448510283,0.7586619745567876,0.7586619745567876
2917,0.6384568744000506,0.6384568744000506,0.7990349644415137,0.8169858677777012,0.8169858677777012
2918,0.5805160567025853,0.5805160567025853,0.7619160430799351,0.8007999510876628,0.8007999510876629
2919,0.5197745297982783,0.5197745297982783,0.7209539026860721,0.7843435999427454,0.7843435999427454
2920,0.5828442356753469,0.5828442356753469,0.7634423591046983,0.8014394966702837,0.8014394966702837
2921,0.5857105915383345,0.5857105915383345,0.7653173142810337,0.8022279570991868,0.8022279570991869
2922,0.6632634817591602,0.6632634817591602,0.8144098978764689,0.8241259436777123,0.8241259436777124
2923,0.6296795587436266,0.6296795587436266,0.793523508626951,0.8144932654533135,0.8144932654533135
2924,0.21391718358944306,0.21391718358944306,0.46251181994565616,0.7006985410286299,0.7006985410286302
2925,0.5363613171939566,0.5363613171939566,0.7323669279766507,0.7887998295363104,0.7887998295363104
2926,0.6652198270020276,0.6652198270020276,0.8156100949608384,0.8246955481459176,0.8246955481459177
2927,0.7484667573617964,0.7484667573617964,0.8651397328534833,0.8500776494611756,0.8500776494611756
2928,0.7313405968347553,0.7313405968347553,0.8551845396373555,0.844642637572464,0.844642637572464
2929,0.4814524120840124,0.4814524120840124,0.693867719442267,0.7741193971151525,0.7741193971151525
2930,0.6526676895833631,0.6526676895833631,0.80787851164848,0.8210579757055748,0.8210579757055748
2931,0.535526989111543,0.535526989111543,0.7317970955883489,0.788575110101463,0.788575110101463
2932,0.6908733746877321,0.6908733746877321,0.8311879298255794,0.8322640616055399,0.83226406160554
2933,0.40041443914008656,0.40041443914008656,0.6327830901186335,0.7526079663498416,0.7526079663498416
2934,0.3675196865527257,0.3675196865527257,0.6062340196266833,0.743821032487925,0.7438210324879251
2935,0.6923616726400421,0.6923616726400421,0.8320827318482473,0.8327092012134993,0.8327092012134993
2936,0.5188478385910268,0.5188478385910268,0.7203109318836046,0.7840952879484426,0.7840952879484426
2937,0.4793122333747343,0.4793122333747343,0.6923237922928365,0.7735505178826988,0.7735505178826988
2938,0.664117869997434,0.664117869997434,0.8149342734217492,0.8243745811021599,0.8243745811021599
2939,0.3857936328779657,0.3857936328779657,0.6211228806588643,0.7487109501851386,0.7487109501851386
2940,0.6629179818124398,0.6629179818124398,0.8141977535049086,0.8240254533106699,0.8240254533106699
2941,0.5484854627107768,0.5484854627107768,0.7405980439555433,0.7920729470685866,0.7920729470685866
2942,0.5162896398268305,0.5162896398268305,0.7185329775499735,0.7834101331817719,0.783410133181772
2943,0.8046953876350528,0.8046953876350528,0.8970481523502809,0.869009003076726,0.869009003076726
2944,0.5299175599759323,0.5299175599759323,0.7279543666851188,0.787065881348682,0.787065881348682
2945,0.45664847086480065,0.45664847086480065,0.6757577012989202,0.7675341248336723,0.7675341248336723
2946,0.5598322864859947,0.5598322864859947,0.7482194106583943,0.7951502219748963,0.7951502219748963
2947,0.6023271124811751,0.6023271124811751,0.7760973601818109,0.8068236385155656,0.8068236385155656
2948,0.4747375429755539,0.4747375429755539,0.6890120049575,0.772335043304677,0.772335043304677
2949,0.5646066339223116,0.5646066339223116,0.7514031101361716,0.7964494780716473,0.7964494780716473
2950,0.713947738306002,0.713947738306002,0.8449542817845248,0.839248785273913,0.839248785273913
2951,0.4660877177726389,0.4660877177726389,0.6827061723557499,0.7700384714623444,0.7700384714623444
2952,0.5784461780137314,0.5784461780137314,0.760556492322386,0.8002320063683815,0.8002320063683815
2953,0.7478517386463825,0.7478517386463825,0.864784215077023,0.8498801673534455,0.8498801673534455
2954,0.4631658664860595,0.4631658664860595,0.6805629041360245,0.7692631022629253,0.7692631022629253
2955,0.39431990152159446,0.39431990152159446,0.6279489641058376,0.750984928202407,0.750984928202407
2956,0.33910410582332795,0.33910410582332795,0.582326459834454,0.7361586524172952,0.7361586524172952
2957,0.747307531667634,0.747307531667634,0.8644695088131417,0.8497055716341761,0.8497055716341761
2958,0.5215776944960683,0.5215776944960683,0.7222033609005626,0.7848269537095637,0.7848269537095637
2959,0.6330627433081988,0.6330627433081988,0.7956524010572701,0.8154520843869494,0.8154520843869494
2960,0.5384787968569523,0.5384787968569523,0.7338111452253587,0.7893704457368176,0.7893704457368176
2961,0.6267663459746955,0.6267663459746955,0.7916857621396861,0.813669541825858,0.813669541825858
2962,0.6138853575892529,0.6138853575892529,0.7835083647219429,0.8100475343329033,0.8100475343329033
2963,0.642064885291326,0.642064885291326,0.8012895140280611,0.8180153458979122,0.8180153458979122
2964,0.7554877115186227,0.7554877115186227,0.8691879609834819,0.8523449746782961,0.8523449746782961
