message_id,origin_node,target_node,priority,origin_battery_level,origin_is_charging,network_density,avrai_max_hops,baseline_max_hops,avrai_success,baseline_success,avrai_hops,baseline_hops,avrai_path_length,baseline_path_length
msg_75,node_2,node_19,critical,0.3248149123539492,True,4,3,2,True,True,1,1,2,2
msg_76,node_15,node_2,critical,0.6860358815211507,True,4,4,2,True,True,1,1,2,2
msg_77,node_23,node_21,critical,0.4493688608715288,False,4,2,2,True,True,1,1,2,2
msg_78,node_0,node_24,critical,0.49963209507789,False,4,2,2,True,True,1,1,2,2
msg_79,node_10,node_17,critical,0.6894823157779036,True,4,4,2,True,True,1,1,2,2
msg_80,node_3,node_6,critical,0.24646688973455957,False,4,2,2,True,True,1,1,2,2
msg_81,node_19,node_2,critical,0.7473864212097255,False,4,3,2,True,True,1,1,2,2
msg_82,node_24,node_2,low,0.6373682234746237,True,4,2,2,True,True,1,1,2,2
msg_83,node_17,node_13,medium,0.9725056264596476,False,4,2,2,True,True,1,1,2,2
msg_84,node_1,node_22,high,0.7855951534491241,False,4,2,2,True,True,1,1,2,2
msg_85,node_15,node_8,critical,0.6860358815211507,True,4,4,2,True,True,1,1,2,2
msg_86,node_0,node_4,low,0.49963209507789,False,4,1,2,False,True,0,1,1,2
msg_87,node_13,node_21,critical,0.3597390257266878,False,4,2,2,True,True,1,1,2,2
msg_88,node_19,node_24,critical,0.7473864212097255,False,4,3,2,True,True,1,1,2,2
msg_89,node_7,node_6,high,0.3454599737656805,True,4,2,2,True,True,1,1,2,2
msg_90,node_16,node_0,critical,0.2520412743882236,False,4,2,2,True,True,1,1,2,2
msg_91,node_11,node_19,medium,0.43371571882817456,False,4,1,2,False,True,0,1,1,2
msg_92,node_22,node_21,medium,0.40702398528001354,False,4,1,2,False,True,0,1,1,2
msg_93,node_5,node_6,low,0.21646759543664196,False,4,1,2,False,True,0,1,1,2
msg_94,node_18,node_22,critical,0.4436910153386966,True,4,3,2,True,True,1,1,2,2
msg_95,node_1,node_21,medium,0.7855951534491241,False,4,2,2,True,True,1,1,2,2
msg_96,node_0,node_15,critical,0.49963209507789,False,4,2,2,True,True,1,1,2,2
msg_97,node_0,node_5,critical,0.49963209507789,False,4,2,2,True,True,1,1,2,2
msg_98,node_15,node_19,critical,0.6860358815211507,True,4,4,2,True,True,1,1,2,2
msg_99,node_2,node_17,critical,0.3248149123539492,True,4,3,2,True,True,1,1,2,2
