group_id,timestamp,cross_section_users,actual_users,correct_users,accuracy
group_10,2025-12-22T23:30:40.729435,5,5,5,1.0
group_10,2025-12-25T23:30:40.729435,5,5,5,1.0
group_10,2025-12-28T23:30:40.729435,5,5,5,1.0
group_10,2025-12-31T23:30:40.729435,4,4,4,1.0
group_10,2026-01-03T23:30:40.729435,4,4,4,1.0
group_10,2026-01-06T23:30:40.729435,4,4,4,1.0
group_10,2026-01-09T23:30:40.729435,0,4,0,0.0
group_11,2025-12-16T23:30:40.729466,5,5,5,1.0
group_11,2025-12-19T23:30:40.729466,5,5,5,1.0
group_11,2025-12-22T23:30:40.729466,5,5,5,1.0
group_11,2025-12-25T23:30:40.729466,5,5,5,1.0
group_11,2025-12-28T23:30:40.729466,5,5,5,1.0
group_11,2025-12-31T23:30:40.729466,5,5,5,1.0
group_11,2026-01-03T23:30:40.729466,4,4,4,1.0
group_11,2026-01-06T23:30:40.729466,4,4,4,1.0
group_11,2026-01-09T23:30:40.729466,0,4,0,0.0
group_12,2025-12-16T23:30:40.729495,5,5,5,1.0
group_12,2025-12-19T23:30:40.729495,5,5,5,1.0
group_12,2025-12-22T23:30:40.729495,5,5,5,1.0
group_12,2025-12-25T23:30:40.729495,5,5,5,1.0
group_12,2025-12-28T23:30:40.729495,5,5,5,1.0
group_12,2025-12-31T23:30:40.729495,5,5,5,1.0
group_12,2026-01-03T23:30:40.729495,5,5,5,1.0
group_12,2026-01-06T23:30:40.729495,5,5,5,1.0
group_12,2026-01-09T23:30:40.729495,0,5,0,0.0
group_13,2025-12-16T23:30:40.729525,5,5,5,1.0
group_13,2025-12-19T23:30:40.729525,5,5,5,1.0
group_13,2025-12-22T23:30:40.729525,5,5,5,1.0
group_13,2025-12-25T23:30:40.729525,5,5,5,1.0
group_13,2025-12-28T23:30:40.729525,5,5,5,1.0
group_13,2025-12-31T23:30:40.729525,4,4,4,1.0
group_13,2026-01-03T23:30:40.729525,4,4,4,1.0
group_13,2026-01-06T23:30:40.729525,4,4,4,1.0
group_13,2026-01-09T23:30:40.729525,0,4,0,0.0
group_14,2025-12-16T23:30:40.729555,5,5,5,1.0
group_14,2025-12-19T23:30:40.729555,5,5,5,1.0
group_14,2025-12-22T23:30:40.729555,5,5,5,1.0
group_14,2025-12-25T23:30:40.729555,5,5,5,1.0
group_14,2025-12-28T23:30:40.729555,5,5,5,1.0
group_14,2025-12-31T23:30:40.729555,5,5,5,1.0
group_14,2026-01-03T23:30:40.729555,5,5,5,1.0
group_14,2026-01-06T23:30:40.729555,5,5,5,1.0
group_14,2026-01-09T23:30:40.729555,0,5,0,0.0
group_15,2025-12-16T23:30:40.729584,5,5,5,1.0
group_15,2025-12-19T23:30:40.729584,5,5,5,1.0
group_15,2025-12-22T23:30:40.729584,5,5,5,1.0
group_15,2025-12-25T23:30:40.729584,5,5,5,1.0
group_15,2025-12-28T23:30:40.729584,5,5,5,1.0
group_15,2025-12-31T23:30:40.729584,5,5,5,1.0
group_15,2026-01-03T23:30:40.729584,5,5,5,1.0
group_15,2026-01-06T23:30:40.729584,5,5,5,1.0
group_15,2026-01-09T23:30:40.729584,0,5,0,0.0
group_16,2025-12-16T23:30:40.729613,5,5,5,1.0
group_16,2025-12-19T23:30:40.729613,5,5,5,1.0
group_16,2025-12-22T23:30:40.729613,5,5,5,1.0
group_16,2025-12-25T23:30:40.729613,5,5,5,1.0
group_16,2025-12-28T23:30:40.729613,5,5,5,1.0
group_16,2025-12-31T23:30:40.729613,5,5,5,1.0
group_16,2026-01-03T23:30:40.729613,5,5,5,1.0
group_16,2026-01-06T23:30:40.729613,5,5,5,1.0
group_16,2026-01-09T23:30:40.729613,0,5,0,0.0
group_17,2025-12-16T23:30:40.729641,5,5,5,1.0
group_17,2025-12-19T23:30:40.729641,5,5,5,1.0
group_17,2025-12-22T23:30:40.729641,5,5,5,1.0
group_17,2025-12-25T23:30:40.729641,5,5,5,1.0
group_17,2025-12-28T23:30:40.729641,5,5,5,1.0
group_17,2025-12-31T23:30:40.729641,5,5,5,1.0
group_17,2026-01-03T23:30:40.729641,5,5,5,1.0
group_17,2026-01-06T23:30:40.729641,5,5,5,1.0
group_17,2026-01-09T23:30:40.729641,0,5,0,0.0
group_18,2025-12-16T23:30:40.729671,5,5,5,1.0
group_18,2025-12-19T23:30:40.729671,5,5,5,1.0
group_18,2025-12-22T23:30:40.729671,4,4,4,1.0
group_18,2025-12-25T23:30:40.729671,4,4,4,1.0
group_18,2025-12-28T23:30:40.729671,5,5,5,1.0
group_18,2025-12-31T23:30:40.729671,5,5,5,1.0
group_18,2026-01-03T23:30:40.729671,5,5,5,1.0
group_18,2026-01-06T23:30:40.729671,5,5,5,1.0
group_18,2026-01-09T23:30:40.729671,0,5,0,0.0
group_19,2025-12-16T23:30:40.729701,5,5,5,1.0
group_19,2025-12-19T23:30:40.729701,5,5,5,1.0
group_19,2025-12-22T23:30:40.729701,5,5,5,1.0
group_19,2025-12-25T23:30:40.729701,5,5,5,1.0
group_19,2025-12-28T23:30:40.729701,5,5,5,1.0
group_19,2025-12-31T23:30:40.729701,5,5,5,1.0
group_19,2026-01-03T23:30:40.729701,5,5,5,1.0
group_19,2026-01-06T23:30:40.729701,5,5,5,1.0
group_19,2026-01-09T23:30:40.729701,0,5,0,0.0
