pair_id,avrai_accuracy,prior_art_accuracy,improvement
0-1,0.9167125983594244,0.7736041666666666,0.14310843169275778
1-2,0.7509815112458286,0.81596875,-0.06498723875417145
2-3,0.9968107280496736,0.8545833333333334,0.14222739471634027
3-4,0.7059639602739316,0.9376458333333333,-0.2316818730594017
4-5,0.7228252129582229,0.8435,-0.12067478704177714
5-6,0.8727352628008951,0.8744479166666667,-0.001712653865771574
6-7,0.9240671327123166,0.8149791666666667,0.10908796604564985
7-8,0.785336614447568,0.8690625,-0.08372588555243199
8-9,0.7460959511184287,0.8307395833333333,-0.08464363221490456
9-10,0.7946534431417215,0.8584583333333333,-0.06380489019161184
10-11,0.9110640197908733,0.843375,0.06768901979087327
11-12,0.877506947273543,0.8773854166666667,0.00012153060687625228
12-13,0.8053867788906994,0.8861979166666667,-0.08081113777596727
13-14,0.8553023595391557,0.7744166666666666,0.08088569287248903
14-15,0.6866820168037192,0.9061041666666666,-0.2194221498629474
15-16,0.8475759109213933,0.8280520833333334,0.019523827588059928
16-17,0.9388445276112833,0.9239166666666667,0.014927860944616622
17-18,0.8348277053812647,0.9570833333333333,-0.12225562795206857
18-19,0.7772994299727384,0.89453125,-0.11723182002726162
19-20,0.8233976048940282,0.80246875,0.020928854894028293
