group_id,num_snapshots,stability_trend,temporal_consistency,initial_stability,final_stability
group_0,9,-0.014135901217469611,0.9996917326971708,0.806689854414092,0.6794667434568655
group_1,9,-0.017448120742074184,0.9998718349230317,0.7345155964803037,0.5774825098016361
group_2,9,-0.011453383884067605,0.9995820588461817,0.8027433814140301,0.6996629264574217
group_3,9,-0.01089226612409528,0.999893862308107,0.7733009926342465,0.6752705975173889
group_4,9,-0.010606524956099546,0.9996367293543864,0.7980867095526122,0.7026279849477163
group_5,9,-0.014384709384590195,0.9997376069228215,0.8067260360134345,0.6772636515521228
group_6,9,-0.00865445318183907,0.999745705963281,0.8026956527994065,0.7248055741628548
group_7,9,0.0016459927566525837,0.9998534517426931,0.8280327154166394,0.8428466502265126
group_8,9,-0.004966924858666035,0.9998251590985445,0.7885368080803707,0.7438344843523764
group_9,9,-0.013599520464625437,0.9999374652222419,0.7530745348129986,0.6306788506313696
group_10,9,-0.0038921906043413662,0.9997813283521206,0.7845301139893854,0.7495003985503131
group_11,9,-0.02118924607143639,0.9996227715759789,0.8021970308759924,0.6114938162330649
group_12,9,-0.005317088058971896,0.9998570895650121,0.8071219170846002,0.7592681245538532
group_13,9,-0.005752899984643616,0.9999347617164787,0.7719829018713363,0.7202068020095438
group_14,9,-0.012260807256165383,0.9997890871258142,0.7781822527513836,0.6678349874458952
group_15,9,0.0008497322584364061,0.9995971008199114,0.7630360499576941,0.7706836402836218
group_16,9,-0.01587331541576193,0.9999109765026695,0.7943929032056609,0.6515330644638035
group_17,9,-0.015226809673909226,0.9997315237180394,0.7936371583393683,0.6565958712741853
group_18,9,-0.016940662165982185,0.9994900437404387,0.7806514257248344,0.6281854662309947
group_19,9,-0.0064112899720420264,0.9997113336052809,0.8102191841283807,0.7525175743800024
