round,global_model_value,convergence_error
0,0.49764922180717586,0.3023507781928242
1,0.518662600891577,0.28133739910842304
2,0.5380748814300581,0.26192511856994194
3,0.5560167520520992,0.24398324794790083
4,0.5726076129125566,0.22739238708744347
5,0.587956599040959,0.21204340095904106
6,0.6021635069052147,0.19783649309478535
7,0.6153196336960178,0.1846803663039822
8,0.6275085378720807,0.17249146212791933
9,0.6388067286414596,0.16119327135854045
10,0.6492842912797647,0.15071570872023532
11,0.6590054544922197,0.14099454550778034
12,0.6680291054047176,0.13197089459528244
13,0.6764092572115181,0.12359074278848192
14,0.6841954740071924,0.11580452599280766
15,0.6914332568817431,0.10856674311825698
16,0.6981643949550749,0.10183560504492517
17,0.7044272846653378,0.09557271533466227
18,0.7102572203007522,0.08974277969924782
19,0.7156866584725566,0.08431334152744341
20,0.7207454589642034,0.07925454103579666
21,0.7254611041558332,0.07453889584416684
22,0.7298588990106392,0.07014110098936088
23,0.7339621534185167,0.06603784658148337
24,0.7377923485202428,0.062207651479757264
25,0.7413692884803288,0.05863071151967125
26,0.7447112390369501,0.05528876096304991
27,0.7478350540313624,0.05216494596863763
28,0.750756291005606,0.04924370899439401
29,0.753489316854795,0.04651068314520501
30,0.7560474044277813,0.043952595572218756
31,0.7584428208864671,0.04155717911353296
32,0.7606869085585981,0.03931309144140194
33,0.7627901589507129,0.03720984104928715
34,0.7647622805263251,0.03523771947367493
35,0.7666122607986929,0.03338773920130711
36,0.7683484232371611,0.03165157676283892
37,0.7699784794404473,0.03002152055955276
38,0.7715095769889844,0.028490423011015675
39,0.7729483433510408,0.027051656648959255
40,0.7743009261834888,0.025699073816511264
41,0.775573030337406,0.024426969662594056
42,0.7767699518508732,0.02323004814912688
43,0.7778966091861058,0.02210339081389423
44,0.7789575719451727,0.021042428054827367
45,0.7799570872777768,0.02004291272222325
46,0.7808991041757215,0.01910089582427854
47,0.7817872958315504,0.018212704168449667
48,0.782625080223299,0.017374919776701025
49,0.783415639073139,0.016584360926860997
50,0.7841619353148478,0.015838064685152253
51,0.7848667291933371,0.015133270806662935
52,0.7855325931088303,0.014467406891169765
53,0.7861619253085961,0.013838074691403968
54,0.7867569625203265,0.013243037479673592
55,0.7873197916132126,0.012680208386787406
56,0.7878523603654577,0.012147639634542351
57,0.7883564874102911,0.01164351258970897
58,0.7888338714264691,0.011166128573530942
59,0.7892860996336972,0.01071390036630282
60,0.7897146556483493,0.010285344351650738
61,0.7901209267502395,0.009879073249760562
62,0.7905062106069802,0.009493789393019814
63,0.7908717214986115,0.009128278501388531
64,0.7912185960816641,0.008781403918335928
65,0.7915478987286019,0.008452101271398171
66,0.7918606264756436,0.008139373524356452
67,0.7921577136092826,0.00784228639071749
68,0.7924400359193484,0.007559964080651627
69,0.7927084146442116,0.007291585355788444
70,0.7929636201316643,0.007036379868335718
71,0.7932063752371217,0.00679362476287837
72,0.7934373584790595,0.006562641520940549
73,0.7936572069700111,0.006342793029988969
74,0.7938665191400007,0.0061334808599993185
75,0.7940658572679509,0.005934142732049175
76,0.7942557498353764,0.005744250164623654
77,0.794436693715562,0.005563306284438019
78,0.7946091562103795,0.005390843789620514
79,0.794773576945963,0.005226423054037088
80,0.794930369637584,0.005069630362416033
81,0.7950799237332754,0.004920076266724638
82,0.7952226059450103,0.004777394054989781
83,0.7953587616755774,0.004641238324422647
84,0.7954887163486615,0.004511283651338571
85,0.7956127766490733,0.004387223350926783
86,0.7957312316795482,0.004268768320451866
87,0.7958443540400403,0.004155645959959764
88,0.7959524008349991,0.00404759916500097
89,0.7960556146137068,0.00394438538629327
90,0.796154224248364,0.003845775751636027
91,0.7962484457542791,0.003751554245720934
92,0.7963384830561764,0.0036615169438236617
93,0.7964245287043562,0.0035754712956438395
94,0.7965067645441559,0.0034932354558441236
95,0.7965853623419126,0.0034146376580874716
96,0.7966604843703904,0.0033395156296096573
97,0.7967322839564271,0.003267716043572899
98,0.7968009059933421,0.0031990940066579654
99,0.7968664874204786,0.003133512579521436
