baseline,baseline_score,avrai_score,improvement_pct
Graph Neural Network (GCN),0.9990990537743427,0.8204319623063621,-17.882820606527623
Quantum-Based Matching (Simple),0.7432630511985682,0.8204319623063621,10.382449522191795
Matrix Factorization (SVD),0.4707773477390418,0.8204319623063621,74.27175845366683
Matrix Factorization (NMF),0.34697422927829363,0.8204319623063621,136.4532847332381
Collaborative Filtering,0.2650542776182886,0.8204319623063621,209.5335678709125
Neural Collaborative Filtering (NCF),-0.02748516585909433,0.8204319623063621,-3084.999131940462
